/ d 755 4096 0 0 5 24 6 46
Library d 755 4096 0 0 6 1 1 24 /Users/ю╠аж
Users d 755 4096 0 0 6 1 1 24 /
bin d 755 4096 0 0 6 1 1 22 /
dev d 755 4096 0 0 6 1 1 23 /
home d 755 4096 0 0 6 1 1 22 /
private d 755 4096 0 0 6 1 1 23 /
tmp d 755 4096 0 0 6 1 1 22 /
var d 755 4096 0 0 6 1 1 23 /
Applications d 755 4096 0 0 6 1 1 23 /
System d 755 4096 0 0 6 1 1 23 /
Volumes d 755 4096 0 0 6 1 1 23 /
cores d 755 4096 0 0 6 1 1 23 /
etc d 755 4096 0 0 6 1 1 23 /
opt d 755 4096 0 0 6 1 1 23 /
sbin d 755 4096 0 0 5 18 2 59 /
usr d 755 4096 0 0 6 1 1 24 /
minwoo d 755 4096 1000 1000 6 1 1 25 /
hyundo d 755 4096 1001 1001 6 1 1 25 /
junho d 755 4096 1002 1002 6 1 1 25 /
jimin d 755 4096 1003 1003 6 1 1 25 /
igeon d 755 4096 1004 1004 6 1 1 25 /
.cache d 700 4096 1004 1004 6 1 1 28 /
.config d 700 4096 1004 1004 6 1 1 28 /
.gnupg d 700 4096 1004 1004 6 1 1 29 /
.local d 700 4096 1004 1004 6 1 1 29 /
Applications d 700 4096 1004 1004 6 1 1 29 /
Public d 755 4096 1004 1004 6 1 1 29 /
Downloads d 700 4096 1004 1004 6 1 1 29 /
Documents d 700 4096 1004 1004 6 1 1 29 /
Desktop d 700 4096 1004 1004 6 1 1 29 /
Videos d 700 4096 1004 1004 6 1 1 30 /
Pictures d 700 4096 1004 1004 6 1 1 30 /
Music d 700 4096 1004 1004 6 1 1 31 /
Templates d 700 4096 1004 1004 6 1 1 31 /
.cache d 700 4096 1003 1003 6 1 1 28 /
.config d 700 4096 1003 1003 6 1 1 28 /
.gnupg d 700 4096 1003 1003 6 1 1 29 /
.local d 700 4096 1003 1003 6 1 1 29 /
Applications d 700 4096 1003 1003 6 1 1 29 /
Public d 755 4096 1003 1003 6 1 1 29 /
Downloads d 700 4096 1003 1003 6 1 1 29 /
Documents d 700 4096 1003 1003 6 1 1 29 /
Desktop d 700 4096 1003 1003 6 1 1 29 /
Videos d 700 4096 1003 1003 6 1 1 30 /
Pictures d 700 4096 1003 1003 6 1 1 30 /
Music d 700 4096 1003 1003 6 1 1 31 /
Templates d 700 4096 1003 1003 6 1 1 31 /
.cache d 700 4096 1002 1002 6 1 1 28 /
.config d 700 4096 1002 1002 6 1 1 28 /
.gnupg d 700 4096 1002 1002 6 1 1 29 /
.local d 700 4096 1002 1002 6 1 1 29 /
Applications d 700 4096 1002 1002 6 1 1 29 /
Public d 755 4096 1002 1002 6 1 1 29 /
Downloads d 700 4096 1002 1002 6 1 1 29 /
Documents d 700 4096 1002 1002 6 1 1 29 /
Desktop d 700 4096 1002 1002 6 1 1 29 /
Videos d 700 4096 1002 1002 6 1 1 30 /
Pictures d 700 4096 1002 1002 6 1 1 30 /
Music d 700 4096 1002 1002 6 1 1 31 /
Templates d 700 4096 1002 1002 6 1 1 31 /
.cache d 700 4096 1001 1001 6 1 1 28 /
.config d 700 4096 1001 1001 6 1 1 28 /
.gnupg d 700 4096 1001 1001 6 1 1 29 /
.local d 700 4096 1001 1001 6 1 1 29 /
Applications d 700 4096 1001 1001 6 1 1 29 /
Public d 755 4096 1001 1001 6 1 1 29 /
Downloads d 700 4096 1001 1001 6 1 1 29 /
Documents d 700 4096 1001 1001 6 1 1 29 /
Desktop d 700 4096 1001 1001 6 1 1 29 /
Videos d 700 4096 1001 1001 6 1 1 30 /
Pictures d 700 4096 1001 1001 6 1 1 30 /
Music d 700 4096 1001 1001 6 1 1 31 /
Templates d 700 4096 1001 1001 6 1 1 31 /
.cache d 700 4096 1000 1000 6 1 1 28 /
.config d 700 4096 1000 1000 6 1 1 28 /
.gnupg d 700 4096 1000 1000 6 1 1 29 /
.local d 700 4096 1000 1000 6 1 1 29 /
Applications d 700 4096 1000 1000 6 1 1 29 /
Public d 755 4096 1000 1000 6 1 1 29 /
Downloads d 700 4096 1000 1000 6 1 1 29 /
Documents d 700 4096 1000 1000 6 1 1 29 /
Desktop d 700 4096 1000 1000 6 1 1 29 /
Videos d 700 4096 1000 1000 6 1 1 30 /
Pictures d 700 4096 1000 1000 6 1 1 30 /
Music d 700 4096 1000 1000 6 1 1 31 /
Templates d 700 4096 1000 1000 6 1 1 31 /
yunjooo d 755 4096 0 0 5 26 13 14 /
iwejfq d 755 4096 0 0 5 26 13 31 /
